ano,Tipo de Veiculo ,Atropelamento,Colisao,Despiste
2007,Vligeiros,4965,30953,8157
2007,Vpesados,233,1922,296
2007,velocipedes,41,1220,178
2007,ciclomotores,145,2827,1458
2007,motrociclos,152,2495,1286
2007,outros,37,292,155
2008,Vligeiros,4607,29368,8353
2008,Vpesados,211,1781,280
2008,velocipedes,46,1199,170
2008,ciclomotores,119,2385,1278
2008,motrociclos,123,2320,1207
2008,outros,33,258,137
2009,Vligeiros,5044,31040,9228
2009,Vpesados,224,1692,294
2009,velocipedes,50,1211,146
2009,ciclomotores,90,2362,1253
2009,motrociclos,132,2343,1177
2009,outros,29,242,135
2010,Vligeiros,5063,31598,45857
2010,Vpesados,213,1798,2205
2010,velocipedes,56,140,1210
2010,ciclomotores,95,1214,3583
2010,motrociclos,137,1272,3719
2010,outros,47,176,564
2011,Vligeiros,4955,28023,8166
2011,Vpesados,221,1415,254
2011,velocipedes,47,1302,182
2011,ciclomotores,84,1816,1067
2011,motrociclos,126,2270,1265
2011,outros,65,471,389
2012,Vligeiros,4412,25606,7551
2012,Vpesados,174,1255,205
2012,velocipedes,65,1235,187
2012,ciclomotores,80,1655,910
2012,motrociclos,124,2295,1241
2012,outros,55,392,325
2013,Vligeiros,4796,25941,7358
2013,Vpesados,147,2305,208
2013,velocipedes,66,1420,276
2013,ciclomotores,76,1643,1018
2013,motrociclos,115,2265,1238
2013,outros,69,370,244
2014,Vligeiros,4586,257144,7579
2014,Vpesados,175,1191,178
2014,velocipedes,78,1433,403
2014,ciclomotores,87,1547,1053
2014,motrociclos,175,2356,1414
2014,outros,79,328,287
2015,Vligeiros,4640,27857,7425
2015,Vpesados,170,1261,183
2015,velocipedes,83,1477,465
2015,ciclomotores,77,1672,1067
2015,motrociclos,147,2740,1578
2015,outros,68,401,263
2016,Vligeiros,4696,28670,7261
2016,Vpesados,174,1159,189
2016,velocipedes,84,1468,404
2016,ciclomotores,74,1555,1032
2016,motrociclos,159,2867,1711
2016,outros,87,331,282
2017,Vligeiros,4843,30634,7351
2017,Vpesados,158,1291,208
2017,velocipedes,93,1554,481
2017,ciclomotores,62,1638,1182
2017,motrociclos,148,3465,2145
2017,outros,66,368,327
2018,Vligeiros,4818,29981,7603
2018,Vpesados,157,1264,204
2018,velocipedes,104,1379,573
2018,ciclomotores,45,1399,1046
2018,motrociclos,172,3705,2134
2018,outros,71,320,305
2019,Vligeiros,4964,32758,7943
2019,Vpesados,178,12969,232
2019,velocipedes,139,1612,680
2019,ciclomotores,73,13999,1034
2019,motrociclos,229,4862,2717
2019,outros,123,193,27
2020,Vligeiros,3243,22414,6206
2020,Vpesados,125,939,172
2020,velocipedes,93,1534,740
2020,ciclomotores,57,1003,821
2020,motrociclos,163,3731,2478
2020,outros,109,178,27
