ano,Tipo_de_via,VM,FG,FL
2007,Arruamento,185,1184,21098
2007,Autoestrada,112,212,3276
2007,Emunicipal,102,377,4679
2007,Enacional,360,1103,11604
2007,IPIC,79,164,1554
2007,outras,16,76,991
2008,Arruamento,181,1105,20701
2008,Autoestrada,84,197,3468
2008,Emunicipal,92,266,3559
2008,Enacional,326,850,10810
2008,IPIC,46,89,1473
2008,outras,47,99,1316
2009,Arruamento,185,1018,22241
2009,Autoestrada,78,190,4098
2009,Emunicipal,77,272,3362
2009,Enacional,286,919,11286
2009,IPIC,65,125,1730
2009,outras,46,2624,1150
2010,Arruamento,287,793,23282
2010,Autoestrada,110,235,4098
2010,Emunicipal,88,273,3008
2010,Enacional,371,784,10678
2010,IPIC,65,164,1833
2010,outras,16,991,991
2011,Arruamento,210,1124,22171
2011,Autoestrada,77,147,3259
2011,Emunicipal,58,247,2454
2011,Enacional,259,739,9496
2011,IPIC,64,119,1532
2011,outras,21,60,814
2012,Arruamento,177,942,20747
2012,Autoestrada,50,121,2394
2012,Emunicipal,71,255,2123
2012,Enacional,199,610,8693
2012,IPIC,53,100,1354
2012,outras,23,62,879
2013,Arruamento,144,964,20874
2013,Autoestrada,42,107,2604
2013,Emunicipal,44,144,2115
2013,Enacional,206,634,8716
2013,IPIC,57,123,1468
2013,outras,25,82,1041
2014,Arruamento,135,933,20390
2014,Autoestrada,46,118,2646
2014,Emunicipal,43,185,1946
2014,Enacional,186,71,9383
2014,IPIC,48,101,1401
2014,outras,24,105,1256
2015,Arruamento,137,1018,22330
2015,Autoestrada,57,154,2497
2015,Emunicipal,43,169,2024
2015,Enacional,165,698,8727
2015,IPIC,37,96,1417
2015,outras,34,115,1831
2016,Arruamento,133,978,23301
2016,Autoestrada,35,126,2686
2016,Emunicipal,37,187,2094
2016,Enacional,170,621,8561
2016,IPIC,45,116,1443
2016,outras,25,74,1086
2017,Arruamento,423,956,24079
2017,Autoestrada,44,130,2815
2017,Emunicipal,39,226,2701
2017,Enacional,182,677,9171
2017,IPIC,43,109,1640
2017,outras,49,100,1381
2018,Arruamento,159,1019,24549
2018,Autoestrada,54,126,3083
2018,Emunicipal,43,170,2118
2018,Enacional,185,627,8429
2018,IPIC,53,108,1808
2018,outras,17,91,1369
2019,Arruamento,295,1024,28157
2019,Autoestrada,67,168,3084
2019,Emunicipal,40,157,1609
2019,Enacional,180,549,8241
2019,IPIC,50,108,1614
2019,outras,46,165,1761
2020,Arruamento,204,893,19899
2020,Autoestrada,59,893,1901
2020,Emunicipal,29,126,1272
2020,Enacional,170,517,6184
2020,IPIC,28,90,1079
2020,outras,39,132,1440
